Time(UTC+01:00),Futures Trading Pair,Direction,Leverage,Order Type,Order Qty (Cont.),Filled Qty (Cont.),Order Qty (Crypto),Filled Qty (Crypto),Order Qty (Amount),Filled Qty (Amount),Order Price,Average Filled Price,Closing PNL,Trading Fee,Fee-payment Crypto,Status
2025-02-25 21:46:11,FLOKI_USDT,sell short,1,MARKET,1,1,100000,100000,8.368,8.368,8.368e-05,8.368e-05,-0.252,0,USDT,FINISHED
2025-02-25 21:46:12,FLOKI_USDT,buy long,1,MARKET,1,1,100000,100000,8.371,8.371,8.371e-05,8.371e-05,0.0,0,USDT,FINISHED
2025-02-25 21:50:07,FLOKI_USDT,sell long,1,MARKET,1,1,100000,100000,8.388,8.388,8.388e-05,8.388e-05,0.017,0,USDT,FINISHED
2025-02-25 21:50:08,FLOKI_USDT,buy short,1,MARKET,1,1,100000,100000,8.388,8.388,8.388e-05,8.388e-05,0.0,0,USDT,FINISHED
2025-02-25 22:06:05,FLOKI_USDT,sell short,1,MARKET,1,1,100000,100000,8.355,8.355,8.355e-05,8.355e-05,0.033,0,USDT,FINISHED
2025-02-25 22:06:06,FLOKI_USDT,buy long,1,MARKET,1,1,100000,100000,8.355,8.355,8.355e-05,8.355e-05,0.0,0,USDT,FINISHED
2025-02-25 22:21:09,FLOKI_USDT,sell long,1,MARKET,1,1,100000,100000,8.35,8.35,8.35e-05,8.35e-05,-0.005,0,USDT,FINISHED
2025-02-25 22:21:10,FLOKI_USDT,buy short,1,MARKET,1,1,100000,100000,8.35,8.35,8.35e-05,8.35e-05,0.0,0,USDT,FINISHED
2025-02-25 22:34:07,FLOKI_USDT,sell short,1,MARKET,1,1,100000,100000,8.329,8.329,8.329e-05,8.329e-05,0.021,0,USDT,FINISHED
2025-02-25 22:34:09,FLOKI_USDT,buy long,1,MARKET,1,1,100000,100000,8.329,8.329,8.329e-05,8.329e-05,0.0,0,USDT,FINISHED
2025-02-25 22:46:12,FLOKI_USDT,sell long,1,MARKET,1,1,100000,100000,8.342,8.342,8.342e-05,8.342e-05,0.013,0,USDT,FINISHED
2025-02-25 22:46:13,FLOKI_USDT,buy short,1,MARKET,1,1,100000,100000,8.342,8.342,8.342e-05,8.342e-05,0.0,0,USDT,FINISHED
2025-02-25 23:18:04,FLOKI_USDT,sell short,1,MARKET,1,1,100000,100000,8.368,8.368,8.368e-05,8.368e-05,-0.026,0,USDT,FINISHED
2025-02-25 23:18:05,FLOKI_USDT,buy long,1,MARKET,1,1,100000,100000,8.365,8.365,8.365e-05,8.365e-05,0.0,0,USDT,FINISHED
2025-02-25 23:34:06,FLOKI_USDT,sell long,1,MARKET,1,1,100000,100000,8.351,8.351,8.351e-05,8.351e-05,-0.014,0,USDT,FINISHED
2025-02-25 23:34:07,FLOKI_USDT,buy short,1,MARKET,1,1,100000,100000,8.353,8.353,8.353e-05,8.353e-05,0.0,0,USDT,FINISHED
2025-02-25 23:39:09,FLOKI_USDT,sell short,1,MARKET,1,1,100000,100000,8.3,8.3,8.3e-05,8.3e-05,0.053,0,USDT,FINISHED
2025-02-25 23:39:10,FLOKI_USDT,buy long,1,MARKET,1,1,100000,100000,8.297,8.297,8.297e-05,8.297e-05,0.0,0,USDT,FINISHED
2025-02-25 23:50:03,FLOKI_USDT,sell long,1,MARKET,1,1,100000,100000,8.347,8.347,8.347e-05,8.347e-05,0.05,0,USDT,FINISHED
2025-02-25 23:50:04,FLOKI_USDT,buy short,1,MARKET,1,1,100000,100000,8.347,8.347,8.347e-05,8.347e-05,0.0,0,USDT,FINISHED
2025-02-26 00:25:04,FLOKI_USDT,sell short,1,MARKET,1,1,100000,100000,8.353,8.353,8.353e-05,8.353e-05,-0.006,0,USDT,FINISHED
2025-02-26 00:25:05,FLOKI_USDT,buy long,1,MARKET,1,1,100000,100000,8.353,8.353,8.353e-05,8.353e-05,0.0,0,USDT,FINISHED
2025-02-26 00:58:07,FLOKI_USDT,sell long,1,MARKET,1,1,100000,100000,8.317,8.317,8.317e-05,8.317e-05,-0.036,0,USDT,FINISHED
2025-02-26 00:58:08,FLOKI_USDT,buy short,1,MARKET,1,1,100000,100000,8.317,8.317,8.317e-05,8.317e-05,0.0,0,USDT,FINISHED
2025-02-26 01:20:06,FLOKI_USDT,sell short,1,MARKET,1,1,100000,100000,8.301,8.301,8.301e-05,8.301e-05,0.016,0,USDT,FINISHED
2025-02-26 01:20:07,FLOKI_USDT,buy long,1,MARKET,1,1,100000,100000,8.297,8.297,8.297e-05,8.297e-05,0.0,0,USDT,FINISHED
2025-02-26 01:26:03,FLOKI_USDT,sell long,1,MARKET,1,1,100000,100000,8.319,8.319,8.319e-05,8.319e-05,0.022,0,USDT,FINISHED
2025-02-26 01:26:05,FLOKI_USDT,buy short,1,MARKET,1,1,100000,100000,8.319,8.319,8.319e-05,8.319e-05,0.0,0,USDT,FINISHED
2025-02-26 01:39:04,FLOKI_USDT,sell short,1,MARKET,1,1,100000,100000,8.292,8.292,8.292e-05,8.292e-05,0.027,0,USDT,FINISHED
2025-02-26 01:39:06,FLOKI_USDT,buy long,1,MARKET,1,1,100000,100000,8.292,8.292,8.292e-05,8.292e-05,0.0,0,USDT,FINISHED
2025-02-26 01:53:04,FLOKI_USDT,sell long,1,MARKET,1,1,100000,100000,8.288,8.288,8.288e-05,8.288e-05,-0.004,0,USDT,FINISHED
2025-02-26 01:53:05,FLOKI_USDT,buy short,1,MARKET,1,1,100000,100000,8.288,8.288,8.288e-05,8.288e-05,0.0,0,USDT,FINISHED
2025-02-26 01:55:11,FLOKI_USDT,sell short,1,MARKET,1,1,100000,100000,8.268,8.268,8.268e-05,8.268e-05,0.02,0,USDT,FINISHED
2025-02-26 01:55:13,FLOKI_USDT,buy long,1,MARKET,1,1,100000,100000,8.271,8.271,8.271e-05,8.271e-05,0.0,0,USDT,FINISHED
2025-02-26 01:57:05,FLOKI_USDT,sell long,1,MARKET,1,1,100000,100000,8.276,8.276,8.276e-05,8.276e-05,0.005,0,USDT,FINISHED
